experiment_id,episode,avg_eval_score
run_3,35,-87.45191707406431
run_3,40,-292.31468917027695
run_3,45,-308.8316542116878
run_3,50,-156.6253269540373
run_3,55,-176.5537884705218
run_3,60,-177.61188244897252
run_3,65,-164.2784103189049
run_3,70,-154.4132609236088
run_3,75,-203.30567970327462
run_3,80,-174.37055418873325
run_3,85,-138.72016805356657
run_3,90,-151.1664933113047
run_3,95,-130.8693257451244
run_3,100,-169.44561526912878
run_3,105,-152.12452922124106
run_3,110,-210.79289565950745
run_3,115,-111.6798660150871
run_3,120,-143.2204553337245
run_3,125,-133.1878187363439
run_3,130,-126.24618266830639
run_3,135,-113.80033744309586
run_3,140,-118.8170796512394
run_3,145,-115.66562616227672
run_3,150,-91.32436243793343
run_3,155,-91.11382306363772
run_3,160,-37.03025060985361
run_3,165,-39.77219804259063
run_3,170,-43.204953329618974
run_3,175,-8.434521975675827
run_3,180,-26.4128029135695
run_3,185,-1.9691105900178454
run_3,190,-95.04499381589297
run_3,195,22.824048249723813
run_3,200,19.726642721214308
run_3,205,-11.431562912781837
run_3,210,-7.336147113470044
run_3,215,36.52788618431392
run_3,220,-35.585431303595634
run_3,225,14.339640723310874
run_3,230,93.31962109645585
run_3,235,181.09194031611156
run_3,240,-2.367159383902997
run_3,245,68.33907757348906
run_3,250,-6.057687321813957
run_3,255,133.25637482593055
run_3,260,132.33041397139968
run_3,265,-13.048051149462827
run_3,270,143.7726485187296
run_3,275,247.242076028794
run_3,280,258.965798026538
run_4,5,-479.983897844006
run_4,10,-250.4530004040283
run_4,15,-276.4404960069502
run_4,20,-168.81340320067437
run_4,25,-219.64251010350412
run_4,30,-126.61620834470543
run_4,35,-120.71633430474722
run_4,40,-219.35959500109485
run_4,45,-238.48710410929417
run_4,50,-199.76523529200594
run_4,55,-339.4179589108741
run_4,60,-124.71336985622102
run_4,65,-144.07318589494827
run_4,70,-155.1307889438915
run_4,75,-111.94382444091832
run_4,80,-147.0117714113721
run_4,85,-128.81937687712212
run_4,90,-155.85518298261715
run_4,95,-113.70123530832036
run_4,100,-121.76023609661752
run_4,105,-192.08539273270634
run_4,110,-108.60283773379884
run_4,115,-155.17027673996563
run_4,120,-155.9828171374192
run_4,125,-155.02157192006348
run_4,130,-101.97748604766359
run_4,135,-88.87936011844114
run_4,140,-51.74196936331314
run_4,145,-103.34308503105387
run_4,150,-57.82121838725453
run_4,155,-134.2055009575586
run_4,160,-94.24667588951351
run_4,165,-126.44080071324629
run_4,170,-172.8111882893069
run_4,175,-46.55723216307315
run_4,180,-44.63184756546816
run_4,185,-34.07811207396803
run_4,190,-34.1338731933678
run_4,195,-17.76215961765378
run_4,200,-21.128712689960352
run_4,205,-11.549230049166834
run_4,210,-14.134728211444502
run_4,215,-11.102575250064342
run_4,220,-6.370344540961679
run_4,225,-37.38798108771847
run_4,230,-10.00382556738363
run_4,235,-5.16625811225406
run_4,240,6.361868163529586
run_4,245,6.075965060987627
run_4,250,96.14926437337921
run_4,255,45.082028079983104
run_4,260,217.68891455378184
run_4,265,29.854040246060816
run_4,270,216.12020848574494
run_4,275,208.85176157026916
run_4,280,185.18365679390814
run_4,285,199.1321100078844
run_4,290,10.904892395396757
run_4,295,169.99104559548888
run_4,300,175.49149629561208
run_4,305,90.71195290633825
run_4,310,-46.469100831817066
run_4,315,154.1376479558687
run_4,320,194.6544724600185
run_4,325,160.48076387575173
run_4,330,248.50405039695084
run_4,335,-242.66813843190317
run_4,340,92.87648747115371
run_4,345,18.581371672858978
run_4,350,250.5787264825702
run_5,5,-596.4488831971372
run_5,10,-148.27440865801032
run_5,15,-273.48348830675013
run_5,20,-290.99968758717876
run_5,25,-162.768211150212
run_5,30,-219.6736553689981
run_5,35,-76.87150049040335
run_5,40,-235.29648829658169
run_5,45,-235.8588472826769
